Group num: 0, TC(X;Y_j): 1.333
preferred, 0.018, 1.000, 0.018
onus, 0.018, 1.000, 0.018
enforced, 0.018, 1.000, 0.018
xa0permanent, 0.018, 1.000, 0.018
endorse, 0.018, 1.000, 0.018
boosting, 0.018, 1.000, 0.018
bedrock, 0.018, 1.000, 0.018
broadly, 0.018, 1.000, 0.018
closer, 0.018, 1.000, 0.018
desirable, 0.018, 1.000, 0.018
customer, 0.018, 1.000, 0.018
coincide, 0.018, 1.000, 0.018
angel, 0.018, 1.000, 0.018
distributes, 0.018, 1.000, 0.018
appoint, 0.018, 1.000, 0.018
forcing, 0.018, 1.000, 0.018
arrive, 0.009, 1.000, 0.009
stalled, 0.009, 1.000, 0.009
brown, 0.008, 1.000, 0.008
springtime, 0.008, 1.000, 0.008
sandhu, 0.008, 1.000, 0.008
satbir, 0.008, 1.000, 0.008
spearheaded, 0.008, 1.000, 0.008
scooped, 0.008, 1.000, 0.008
carved, 0.008, 1.000, 0.008
cartagena, 0.008, 1.000, 0.008
shri, 0.008, 1.000, 0.008
sikh, 0.008, 1.000, 0.008
sits, 0.008, 1.000, 0.008
situate, 0.008, 1.000, 0.008
sliding, 0.008, 1.000, 0.008
sorely, 0.008, 1.000, 0.008
slow, 0.008, 1.000, 0.008
caucasian, 0.008, 1.000, 0.008
solidarité, 0.008, 1.000, 0.008
sach, 0.008, 1.000, 0.008
embodied, 0.008, 1.000, 0.008
saanich, 0.008, 1.000, 0.008
prudence, 0.008, 1.000, 0.008
publishes, 0.008, 1.000, 0.008
punjabi, 0.008, 1.000, 0.008
quadruple, 0.008, 1.000, 0.008
classes, 0.008, 1.000, 0.008
ravidass, 0.008, 1.000, 0.008
recapitulate, 0.008, 1.000, 0.008
regarded, 0.008, 1.000, 0.008
sabha, 0.008, 1.000, 0.008
cheema, 0.008, 1.000, 0.008
charan, 0.008, 1.000, 0.008
characterization, 0.008, 1.000, 0.008
remarks, 0.008, 1.000, 0.008
repatriation, 0.008, 1.000, 0.008
replacement, 0.008, 1.000, 0.008
resumé, 0.008, 1.000, 0.008
cayman, 0.008, 1.000, 0.008
runway, 0.008, 1.000, 0.008
releasing, 0.008, 1.000, 0.008
chances, 0.008, 1.000, 0.008
striving, 0.008, 1.000, 0.008
stimulated, 0.008, 1.000, 0.008
awaaz, 0.008, 1.000, 0.008
unfolded, 0.008, 1.000, 0.008
unionization, 0.008, 1.000, 0.008
upheld, 0.008, 1.000, 0.008
ushered, 0.008, 1.000, 0.008
vaisakhi, 0.008, 1.000, 0.008
varies, 0.008, 1.000, 0.008
assisting, 0.008, 1.000, 0.008
barbados, 0.008, 1.000, 0.008
wages, 0.008, 1.000, 0.008
westminster, 0.008, 1.000, 0.008
ambiance, 0.008, 1.000, 0.008
amass, 0.008, 1.000, 0.008
afar, 0.008, 1.000, 0.008
wintertime, 0.008, 1.000, 0.008
adviser, 0.008, 1.000, 0.008
worship, 0.008, 1.000, 0.008
xa02018, 0.008, 1.000, 0.008
warmest, 0.008, 1.000, 0.008
treasure, 0.008, 1.000, 0.008
trainer, 0.008, 1.000, 0.008
basra, 0.008, 1.000, 0.008
protestant, 0.008, 1.000, 0.008
sucker, 0.008, 1.000, 0.008
summertime, 0.008, 1.000, 0.008
sunshine, 0.008, 1.000, 0.008
suriname, 0.008, 1.000, 0.008
surpass, 0.008, 1.000, 0.008
sustainably, 0.008, 1.000, 0.008
tailoring, 0.008, 1.000, 0.008
bone, 0.008, 1.000, 0.008
tax, 0.008, 1.000, 0.008
taxable, 0.008, 1.000, 0.008
blame, 0.008, 1.000, 0.008
temple, 0.008, 1.000, 0.008
bilingual, 0.008, 1.000, 0.008
thirty, 0.008, 1.000, 0.008
behooves, 0.008, 1.000, 0.008
thread, 0.008, 1.000, 0.008
threw, 0.008, 1.000, 0.008
beehive, 0.008, 1.000, 0.008
broaden, 0.008, 1.000, 0.008
cleaner, 0.008, 1.000, 0.008
clock, 0.008, 1.000, 0.008
clinton, 0.008, 1.000, 0.008
